City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Ust-Kan,RU,50.9276,84.761,35.82,83,100,5.35,light rain
139,Port Alfred,ZA,-33.5906,26.891,59.92,80,76,8.88,broken clouds
140,Simpang,ID,-1.2667,104.0833,73.71,96,93,2.08,overcast clouds
141,Miri,MY,4.4148,114.0089,75.96,92,97,4.32,overcast clouds
142,Chokurdakh,RU,70.6333,147.9167,23.13,95,97,8.25,overcast clouds
143,Kinsale,IE,51.7075,-8.5306,46.24,87,20,8.05,few clouds
144,The Pas,CA,53.8251,-101.2541,73.49,42,5,13.65,clear sky
145,Norman Wells,CA,65.282,-126.8329,32.04,86,90,18.41,snow
146,Maumere,ID,-8.6199,122.2111,78.55,82,37,4.7,scattered clouds
147,Chicama,PE,-7.8447,-79.1469,69.1,69,13,9.08,few clouds
148,Nanortalik,GL,60.1432,-45.2371,38.08,60,0,7.18,clear sky
149,Tuktoyaktuk,CA,69.4541,-133.0374,33.51,100,100,22.06,snow
150,San Cristobal,VE,7.7669,-72.225,80.78,84,60,4.5,broken clouds
151,Jawar,IN,23.0,76.5,72.28,93,100,12.77,overcast clouds
152,Belaya Gora,RU,68.5333,146.4167,24.64,85,100,11.99,overcast clouds
153,Oranjemund,NA,-28.55,16.4333,54.99,89,62,9.15,broken clouds
154,Tuatapere,NZ,-46.1333,167.6833,54.82,80,40,7.31,scattered clouds
155,Kruisfontein,ZA,-34.0033,24.7314,51.89,82,100,6.31,overcast clouds
156,Mao,ES,39.8885,4.2658,68.56,88,0,2.3,clear sky
157,Emerald,AU,-23.5333,148.1667,66.34,72,68,17.38,broken clouds
158,Souillac,MU,-20.5167,57.5167,72.36,71,26,16.26,scattered clouds
159,Kinablangan,PH,7.6947,126.5503,79.63,80,100,3.4,overcast clouds
160,Omboue,GA,-1.5746,9.2618,76.44,86,81,6.42,broken clouds
161,Shelburne,CA,44.0787,-80.2041,57.56,67,50,6.85,scattered clouds
162,Solnechnyy,RU,50.7214,136.6319,50.59,91,14,6.58,few clouds
163,Pevek,RU,69.7008,170.3133,22.26,83,98,4.9,overcast clouds
164,Pavlodolskaya,RU,43.7192,44.4781,52.38,74,100,2.73,overcast clouds
165,Namibe,AO,-15.1961,12.1522,64.56,84,91,3.15,overcast clouds
166,Humaita,BR,-7.5061,-63.0208,84.65,56,83,2.01,broken clouds
167,Hami,CN,42.8,93.45,62.69,26,3,1.12,clear sky
