City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Bengkulu,ID,75.07,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
293,Waw,SS,72.16,overcast clouds,7.7029,27.9953,Universal Gab Hotel
296,Sabha,LY,78.22,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
297,Ariquemes,BR,83.91,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
298,General Roca,AR,70.2,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
305,Marshfield,US,73.13,clear sky,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
306,Swan River,CA,84.67,clear sky,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
307,Flin Flon,CA,72.32,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
310,Moranbah,AU,70.75,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
313,Salalah,OM,80.24,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
314,Saint-Joseph,RE,70.16,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
315,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
316,Grand Gaube,MU,72.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
323,Isangel,VU,76.17,broken clouds,-19.55,169.2667,Tanna Lodge
324,Innisfail,AU,75.96,overcast clouds,-17.5333,146.0333,Moondarra Motel
326,Guna,IN,74.52,scattered clouds,24.65,77.3167,Hotel G K Jain
329,Koumac,NC,75.09,few clouds,-20.5667,164.2833,Le Monitel
330,Brasilia,BR,79.72,scattered clouds,-15.7797,-47.9297,Grand Mercure Brasilia Eixo Monumental
333,Rongcheng,CN,73.62,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
336,Lompoc,US,81.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
337,Bathsheba,BB,82.17,few clouds,13.2167,-59.5167,Atlantis Hotel
343,Lake Ridge,US,78.21,broken clouds,38.6879,-77.2978,SpringHill Suites by Marriott Potomac Mills Woodbridge
344,Inyonga,TZ,76.44,broken clouds,-6.7167,32.0667,Eden Rock Lodge
348,Karratha,AU,70.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
352,Dingle,PH,75.7,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
358,Puerto Narino,CO,78.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
359,Labuhan,ID,76.8,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
360,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
365,Talara,PE,70.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
370,Kapit,MY,73.69,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
371,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
373,Quatre Cocos,MU,72.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
376,Mount Isa,AU,78.57,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
379,Morada Nova,BR,81.95,broken clouds,-5.1067,-38.3725,PIZZARIA MARIANA
381,Middle Island,US,72.05,few clouds,40.8843,-72.9373,Camp Wilderness (not an actual campground)
383,Luanda,AO,73.4,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
386,Bonthe,SL,77.09,moderate rain,7.5264,-12.505,Bonthe Holiday Village
390,Lazaro Cardenas,MX,83.98,few clouds,17.9583,-102.2,quinta antigua
392,Praia Da Vitoria,PT,72.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
393,Pedernales,DO,82.8,clear sky,18.0384,-71.744,Hotel Costa Marina
394,Umm Lajj,SA,79.59,clear sky,25.0213,37.2685,Moon light Furnished Units
397,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
401,Poum,NC,73.35,broken clouds,-20.2333,164.0167,Gîte kajeon
405,Carutapera,BR,75.65,few clouds,-1.195,-46.02,Lidera
406,Diebougou,BF,76.91,light rain,10.9667,-3.25,Hotel Le Consulat
407,Port-Gentil,GA,77.65,broken clouds,-0.7193,8.7815,Fengshui Residence
408,Guerrero Negro,MX,74.19,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
409,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
412,Koutsouras,GR,77.11,clear sky,35.0339,25.9469,The White Houses
415,Lorengau,PG,82.74,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
421,Mindelo,CV,80.15,few clouds,16.8901,-24.9804,Hotel Gaudi
422,San Luis,AR,70.29,clear sky,-33.295,-66.3356,Huarpes Hotel
424,Klerksdorp,ZA,70.23,overcast clouds,-26.8521,26.6667,Alte Welkom Guesthouse
429,Tonantins,BR,75.45,broken clouds,-2.8731,-67.8022,Hotel Rei Davi
430,Khurai,IN,73.51,scattered clouds,24.0436,78.3319,Shehnai Garden Hotel & Restaurant Khurai
432,Manacapuru,BR,77.58,overcast clouds,-3.2997,-60.6206,Novo Hotel
433,Payo,ID,72.12,broken clouds,-3.7508,103.6372,Mess keban agung
434,Dickinson,US,82.94,mist,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
439,Campos Gerais,BR,76.91,scattered clouds,-21.235,-45.7586,Hotel Paraíso
442,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
450,Teseney,ER,83.23,few clouds,15.11,36.6575,Sabrin Hotel
453,Dhidhdhoo,MV,82.02,overcast clouds,6.8833,73.1,Dhidhoo beach
456,Soyo,AO,75.34,broken clouds,-6.1349,12.3689,Hotel Mpampa
460,Sao Joao Da Barra,BR,72.28,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
461,Davila,PH,80.22,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
463,Ratangarh,IN,80.8,few clouds,28.0833,74.6,Hotel Shri Laxmi Palace
468,San Quintin,MX,70.95,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
470,Chimbarongo,CL,77.38,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
471,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
475,Manokwari,ID,80.4,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
476,Paratebueno,CO,80.55,overcast clouds,4.3758,-73.2155,Casa Hotel Paratebueno
477,Ashland,US,70.59,clear sky,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
479,Sakakah,SA,79.05,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
480,Sunyani,GH,70.48,overcast clouds,7.3399,-2.3268,Nass Lodge
481,Kisangani,CD,70.29,overcast clouds,0.5167,25.2,Grand Ramela Hotel
482,Tutoia,BR,79.92,overcast clouds,-2.7619,-42.2744,Pousada Guará's
484,Veracruz,MX,82.87,scattered clouds,19.3333,-96.6667,El Carrizal
486,Boca Do Acre,BR,80.78,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
488,Sola,VU,78.73,overcast clouds,-13.8833,167.55,Leumerus Bungalows
489,Bac Lieu,VN,79.47,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
490,Pandan,PH,80.1,broken clouds,14.0453,124.1694,Bonifacio Lodge
492,Aquin,HT,83.35,scattered clouds,18.2833,-73.4,Asheev Beach
496,Manono,CD,75.15,overcast clouds,-7.3,27.4167,Hotel hewa bora
497,Kismayo,SO,76.95,scattered clouds,-0.3582,42.5454,Agan-Hotel
